Errors,Attempts,Accuracy,Elapsed Time,Type,Age,English Proficiency,Coding Proficiency,Dyslexia,Input Device,Participant
,1.00,100.00,"13,453.90",kebab,27,advanced,none,no,touchpad,1
,1.00,100.00,"16,093.10",kebab,27,advanced,none,no,touchpad,1
,1.00,100.00,"10,196.00",kebab,27,advanced,none,no,touchpad,1
,1.00,100.00,"14,089.60",kebab,27,advanced,none,no,touchpad,1
,1.00,100.00,"10,915.20",kebab,27,advanced,none,no,touchpad,1
,1.00,100.00,"7,450.50",kebab,27,advanced,none,no,touchpad,1
,1.00,100.00,"7,413.10",kebab,27,advanced,none,no,touchpad,1
,1.00,100.00,"4,285.80",kebab,27,advanced,none,no,touchpad,1
,1.00,100.00,"17,075.50",kebab,27,advanced,none,no,touchpad,1
,1.00,100.00,"13,373.30",kebab,27,advanced,none,no,touchpad,1
,1.00,100.00,"13,239.90",camel,27,advanced,none,no,touchpad,1
,1.00,100.00,"8,996.60",camel,27,advanced,none,no,touchpad,1
,1.00,100.00,"13,109.80",camel,27,advanced,none,no,touchpad,1
,1.00,100.00,"10,112.90",camel,27,advanced,none,no,touchpad,1
,1.00,100.00,"7,610.30",camel,27,advanced,none,no,touchpad,1
,1.00,100.00,"25,420.80",camel,27,advanced,none,no,touchpad,1
,1.00,100.00,"8,327.30",camel,27,advanced,none,no,touchpad,1
,1.00,100.00,"10,354.40",camel,27,advanced,none,no,touchpad,1
,1.00,100.00,"7,847.30",camel,27,advanced,none,no,touchpad,1
,1.00,100.00,"5,811.90",camel,27,advanced,none,no,touchpad,1
,1.00,100.00,"5,954.40",camel,26,advanced,beginner,no,mouse,2
,1.00,100.00,"4,600.10",camel,26,advanced,beginner,no,mouse,2
,1.00,100.00,"5,167.10",camel,26,advanced,beginner,no,mouse,2
,1.00,100.00,"10,842.60",camel,26,advanced,beginner,no,mouse,2
,1.00,100.00,"8,052.90",camel,26,advanced,beginner,no,mouse,2
,1.00,100.00,"6,432.50",camel,26,advanced,beginner,no,mouse,2
,1.00,100.00,"19,119.70",camel,26,advanced,beginner,no,mouse,2
,1.00,100.00,"11,142.00",camel,26,advanced,beginner,no,mouse,2
,1.00,100.00,"7,271.10",camel,26,advanced,beginner,no,mouse,2
,1.00,100.00,"6,422.50",camel,26,advanced,beginner,no,mouse,2
,1.00,100.00,"6,428.40",kebab,26,advanced,beginner,no,mouse,2
,1.00,100.00,"4,657.80",kebab,26,advanced,beginner,no,mouse,2
,1.00,100.00,"3,716.40",kebab,26,advanced,beginner,no,mouse,2
,1.00,100.00,"8,417.90",kebab,26,advanced,beginner,no,mouse,2
,1.00,100.00,"7,214.30",kebab,26,advanced,beginner,no,mouse,2
,1.00,100.00,"4,247.40",kebab,26,advanced,beginner,no,mouse,2
,1.00,100.00,"7,615.80",kebab,26,advanced,beginner,no,mouse,2
,1.00,100.00,"7,192.70",kebab,26,advanced,beginner,no,mouse,2
,1.00,100.00,"3,636.20",kebab,26,advanced,beginner,no,mouse,2
,1.00,100.00,"5,812.40",kebab,26,advanced,beginner,no,mouse,2
1,2.00,50.00,"25,509.00",camel,24,advanced,beginner,no,mouse,3
,1.00,100.00,"8,175.40",camel,24,advanced,beginner,no,mouse,3
1,2.00,50.00,"31,886.30",camel,24,advanced,beginner,no,mouse,3
,1.00,100.00,"14,470.40",camel,24,advanced,beginner,no,mouse,3
,1.00,100.00,"18,479.20",camel,24,advanced,beginner,no,mouse,3
,1.00,100.00,"26,044.50",camel,24,advanced,beginner,no,mouse,3
,1.00,100.00,"14,466.50",camel,24,advanced,beginner,no,mouse,3
,1.00,100.00,"93,118.10",camel,24,advanced,beginner,no,mouse,3
1,2.00,50.00,"8,421.40",camel,24,advanced,beginner,no,mouse,3
,1.00,100.00,"23,431.40",camel,24,advanced,beginner,no,mouse,3
,1.00,100.00,"33,512.30",kebab,24,advanced,beginner,no,mouse,3
,1.00,100.00,"5,508.50",kebab,24,advanced,beginner,no,mouse,3
,1.00,100.00,"5,628.40",kebab,24,advanced,beginner,no,mouse,3
,1.00,100.00,"6,268.70",kebab,24,advanced,beginner,no,mouse,3
,1.00,100.00,"4,474.40",kebab,24,advanced,beginner,no,mouse,3
,1.00,100.00,"7,252.40",kebab,24,advanced,beginner,no,mouse,3
,1.00,100.00,"17,525.70",kebab,24,advanced,beginner,no,mouse,3
,1.00,100.00,"6,450.60",kebab,24,advanced,beginner,no,mouse,3
,1.00,100.00,"20,832.20",kebab,24,advanced,beginner,no,mouse,3
,1.00,100.00,"5,737.50",kebab,24,advanced,beginner,no,mouse,3
,1.00,100.00,7732.5,camel,23,advanced,intermediate,no,mouse,4
,1.00,100.00,5851.8,camel,23,advanced,intermediate,no,mouse,4
,1.00,100.00,20163.4,camel,23,advanced,intermediate,no,mouse,4
,1.00,100.00,9127.4,camel,23,advanced,intermediate,no,mouse,4
,1.00,100.00,5394,camel,23,advanced,intermediate,no,mouse,4
,1.00,100.00,9387.2,camel,23,advanced,intermediate,no,mouse,4
