Errors,Attemps,Accuracy,Elapsed Time,Type,Age,English Proficiency,Coding Proficiency,Dyslexia,Input Device,Participant,Kebab Time,Camel Time
,1,100.00%,4285.8,kebab,27,advanced,none,no,touchpad,1,1378.2,5811.9
,1,100.00%,7413.1,kebab,27,advanced,none,no,touchpad,1,1378.2,7610.3
,1,100.00%,7450.5,kebab,27,advanced,none,no,touchpad,1,1565.7,7847.3
,1,100.00%,10196,kebab,27,advanced,none,no,touchpad,1,1624,8327.3
,1,100.00%,10915.2,kebab,27,advanced,none,no,touchpad,1,1723.7,8996.6
,1,100.00%,13373.3,kebab,27,advanced,none,no,touchpad,1,1832,10112.9
,1,100.00%,13453.9,kebab,27,advanced,none,no,touchpad,1,1842,10354.4
,1,100.00%,14089.6,kebab,27,advanced,none,no,touchpad,1,1935.4,13109.8
,1,100.00%,16093.1,kebab,27,advanced,none,no,touchpad,1,2010,13239.9
,1,100.00%,17075.5,kebab,27,advanced,none,no,touchpad,1,2067.5,25420.8
,1,100.00%,5811.9,camel,27,advanced,none,no,touchpad,1,2109.4,4600.1
,1,100.00%,7610.3,camel,27,advanced,none,no,touchpad,1,2172,5167.1
,1,100.00%,7847.3,camel,27,advanced,none,no,touchpad,1,2246.4,5954.4
,1,100.00%,8327.3,camel,27,advanced,none,no,touchpad,1,2246.4,6422.5
,1,100.00%,8996.6,camel,27,advanced,none,no,touchpad,1,2332,6432.5
,1,100.00%,10112.9,camel,27,advanced,none,no,touchpad,1,2381,7271.1
,1,100.00%,10354.4,camel,27,advanced,none,no,touchpad,1,2441,8052.9
,1,100.00%,13109.8,camel,27,advanced,none,no,touchpad,1,2464.6,10842.6
,1,100.00%,13239.9,camel,27,advanced,none,no,touchpad,1,2464.6,11142
,1,100.00%,25420.8,camel,27,advanced,none,no,touchpad,1,2479.6,19119.7
,1,100.00%,3636.2,kebab,26,advanced,beginner,no,mouse,2,2479.6,8175.4
,1,100.00%,3716.4,kebab,26,advanced,beginner,no,mouse,2,2600.8,8421.4
,1,100.00%,4247.4,kebab,26,advanced,beginner,no,mouse,2,2641.4,14466.5
,1,100.00%,4657.8,kebab,26,advanced,beginner,no,mouse,2,2682,14470.4
,1,100.00%,5812.4,kebab,26,advanced,beginner,no,mouse,2,2721,18479.2
,1,100.00%,6428.4,kebab,26,advanced,beginner,no,mouse,2,2802,23431.4
,1,100.00%,7192.7,kebab,26,advanced,beginner,no,mouse,2,2844.5,25509
,1,100.00%,7214.3,kebab,26,advanced,beginner,no,mouse,2,2844.5,26044.5
,1,100.00%,7615.8,kebab,26,advanced,beginner,no,mouse,2,2863.8,31886.3
,1,100.00%,8417.9,kebab,26,advanced,beginner,no,mouse,2,2873.1,93118.1
,1,100.00%,4600.1,camel,26,advanced,beginner,no,mouse,2,2873.1,5394
,1,100.00%,5167.1,camel,26,advanced,beginner,no,mouse,2,2907.1,5819.5
,1,100.00%,5954.4,camel,26,advanced,beginner,no,mouse,2,2968.4,5851.8
,1,100.00%,6422.5,camel,26,advanced,beginner,no,mouse,2,3047,7732.5
,1,100.00%,6432.5,camel,26,advanced,beginner,no,mouse,2,3057.8,8337.2
,1,100.00%,7271.1,camel,26,advanced,beginner,no,mouse,2,3063,9127.4
,1,100.00%,8052.9,camel,26,advanced,beginner,no,mouse,2,3063,9387.2
,1,100.00%,10842.6,camel,26,advanced,beginner,no,mouse,2,3150.4,13801.6
,1,100.00%,11142,camel,26,advanced,beginner,no,mouse,2,3150.4,16313
,1,100.00%,19119.7,camel,26,advanced,beginner,no,mouse,2,3175.5,20163.4
,1,100.00%,4474.4,kebab,24,advanced,beginner,no,mouse,3,3190.7,4181.9
,1,100.00%,5508.5,kebab,24,advanced,beginner,no,mouse,3,3191,4536.8
,1,100.00%,5628.4,kebab,24,advanced,beginner,no,mouse,3,3294.9,4635.1
,1,100.00%,5737.5,kebab,24,advanced,beginner,no,mouse,3,3357,4933.7
,1,100.00%,6268.7,kebab,24,advanced,beginner,no,mouse,3,3457.9,5042.5
,1,100.00%,6450.6,kebab,24,advanced,beginner,no,mouse,3,3551.1,6517.5
,1,100.00%,7252.4,kebab,24,advanced,beginner,no,mouse,3,3580,6621.5
,1,100.00%,17525.7,kebab,24,advanced,beginner,no,mouse,3,3581.6,9867.1
,1,100.00%,20832.2,kebab,24,advanced,beginner,no,mouse,3,3622,10707.4
,1,100.00%,33512.3,kebab,24,advanced,beginner,no,mouse,3,3636.2,17286.5
,1,100.00%,8175.4,camel,24,advanced,beginner,no,mouse,3,3716.4,1505.3
1,2,50.00%,8421.4,camel,24,advanced,beginner,no,mouse,3,3749.9,1526.9
,1,100.00%,14466.5,camel,24,advanced,beginner,no,mouse,3,3872.3,2076.6
,1,100.00%,14470.4,camel,24,advanced,beginner,no,mouse,3,3933.6,2156.5
,1,100.00%,18479.2,camel,24,advanced,beginner,no,mouse,3,4053.5,2391.4
,1,100.00%,23431.4,camel,24,advanced,beginner,no,mouse,3,4076.2,2586.4
1,2,50.00%,25509,camel,24,advanced,beginner,no,mouse,3,4102.4,2647.2
,1,100.00%,26044.5,camel,24,advanced,beginner,no,mouse,3,4247.4,4119.8
1,2,50.00%,31886.3,camel,24,advanced,beginner,no,mouse,3,4285.8,4718.1
,1,100.00%,93118.1,camel,24,advanced,beginner,no,mouse,3,4407.5,5533.9
,1,100.00%,2968.4,kebab,23,advanced,intermediate,no,mouse,4,4474.4,2302.9
,1,100.00%,3190.7,kebab,23,advanced,intermediate,no,mouse,4,4511,3186.1
,1,100.00%,4407.5,kebab,23,advanced,intermediate,no,mouse,4,4657.8,3211.2
,1,100.00%,5352.5,kebab,23,advanced,intermediate,no,mouse,4,4661,3239.3
,1,100.00%,5546.3,kebab,23,advanced,intermediate,no,mouse,4,4712,3397.7
,1,100.00%,5709.1,kebab,23,advanced,intermediate,no,mouse,4,4767.8,3544.4
,1,100.00%,5791.7,kebab,23,advanced,intermediate,no,mouse,4,4823.9,3938.6
,1,100.00%,7512.4,kebab,23,advanced,intermediate,no,mouse,4,4892,5263.4
,1,100.00%,9051.1,kebab,23,advanced,intermediate,no,mouse,4,4934,6566.8
